date, pm25, pm10, no2
2019/2/4, , 8, 20
2019/2/5, , 20, 26
2019/2/6, , 19, 20
2019/2/7, , 17, 13
2019/2/8, , 12, 11
2019/2/9, , 9, 10
2019/2/10, , 10, 19
2019/2/11, , 16, 23
2019/2/12, , 29, 19
2019/2/13, , 27, 19
2019/2/14, , 16, 17
2019/2/15, , 17, 13
2019/2/16, , 32, 25
2019/2/17, , 47, 14
2019/2/18, , 42, 14
2019/2/19, , 21, 19
2019/2/20, , 31, 17
2019/2/21, , 50, 29
2019/2/22, , 75, 11
2019/2/23, , 40, 8
2019/2/24, , 14, 21
2019/2/25, , 37, 29
2019/2/26, , 50, 21
2019/2/27, , 48, 14
2019/2/28, , 51, 25
2019/3/1, , 66, 13
2019/3/2, , 55, 9
2019/3/3, , 24, 11
2019/3/4, , 36, 13
2019/3/5, , 30, 22
2019/3/6, , 35, 22
2019/3/7, , 23, 13
2019/3/8, , 17, 13
2019/3/9, , 15, 15
2019/3/10, , 29, 20
2019/3/11, , 44, 30
2019/3/12, , 67, 25
2019/3/13, , 54, 22
2019/3/14, , 21, 22
2019/3/15, , 18, 18
2019/3/16, , 20, 18
2019/3/17, , 20, 18
2019/3/18, , 12, 21
2019/3/19, , 32, 20
2019/3/20, , 41, 17
2019/3/21, , 27, 26
2019/3/22, , 53, 7
2019/3/23, , 52, 8
2019/3/24, , 42, 20
2019/3/25, , 50, 21
2019/3/26, , 59, 28
2019/3/27, , 70, 20
2019/3/28, , 74, 11
2019/3/29, , 58, 9
2019/3/30, , 45, 11
2019/3/31, , 33, 23
2018/10/1, , 16, 17
2018/10/2, , 19, 14
2018/10/3, , 14, 19
2018/10/4, , 19, 11
2018/10/5, , 14, 11
2018/10/6, , 13, 15
2018/10/7, , 13, 10
2018/10/8, , 14, 9
2018/10/9, , 11, 15
2018/10/10, , 16, 21
2018/10/11, , 23, 20
2018/10/12, , 34, 14
2018/10/13, , 35, 15
2018/10/14, , 37, 17
2018/10/15, , 40, 18
2018/10/16, , 38, 16
2018/10/17, , 30, 19
2018/10/18, , 24, 26
2018/10/19, , 28, 24
2018/10/20, , 20, 6
2018/10/21, , 14, 11
2018/10/22, , 15, 11
2018/10/23, , 11, 14
2018/10/24, , 13, 22
2018/10/25, , 22, 24
2018/10/26, , 27, 8
2018/10/27, , 18, 12
2018/10/28, , 17, 10
2018/10/29, , 16, 6
2018/10/30, , 12, 9
2018/10/31, , 23, 15
2018/11/1, , 30, 11
2018/11/2, , 43, 9
2018/11/3, , 33, 10
2018/11/4, , 29, 19
2018/11/5, , 32, 22
2018/11/6, , 34, 18
2018/11/7, , 36, 27
2018/11/8, , 31, 21
2018/11/9, , 24, 20
2018/11/10, , 19, 17
2018/11/11, , 24, 16
2018/11/12, , 55, 18
2018/11/13, , 47, 20
2018/11/14, , 38, 11
2018/11/15, , 38, 12
2018/11/16, , 34, 15
2018/11/17, , 39, 10
2018/11/18, , 34, 24
2018/11/19, , 46, 32
2018/11/20, , 61, 31
2018/11/21, , 60, 22
2018/11/22, , 37, 22
2018/11/23, , 16, 21
2018/11/24, , 12, 25
2018/11/25, , 10, 31
2018/11/26, , 21, 34
2018/11/27, , 17, 36
2018/11/28, , 14, 19
2018/11/29, , 28, 16
2018/11/30, , 35, 15
2018/12/1, , 20, 16
2018/12/2, , 21, 17
2018/12/3, , 20, 14
2018/12/4, , 15, 17
2018/12/5, , 34, 20
2018/12/6, , 29, 21
2018/12/7, , 18, 15
2018/12/8, , 13, 13
2018/12/9, , 11, 20
2018/12/10, , 25, 15
2018/12/11, , 28, 19
2018/12/12, , 25, 21
2018/12/13, , 23, 25
2018/12/14, , 26, 25
2018/12/15, , 29, 14
2018/12/16, , 21, 20
2018/12/17, , 54, 17
2018/12/18, , 26, 25
2018/12/19, , 14, 20
2018/12/20, , 24, 10
2018/12/21, , 23, 17
2018/12/22, , 15, 15
2018/12/23, , 8, 13
2018/12/24, , 7, 12
2018/12/25, , 14, 18
2018/12/26, , 13, 21
2018/12/27, , 8, 23
2018/12/28, , 8, 17
2018/12/29, , 7, 17
2018/12/30, , 6, 
2018/7/1, , 8, 12
2018/7/2, , 13, 16
2018/7/3, , 20, 17
2018/7/4, , 20, 18
2018/7/5, , 26, 16
2018/7/6, , 19, 10
2018/7/7, , 18, 11
2018/7/8, , 16, 10
2018/7/9, , 19, 13
2018/7/10, , 21, 15
2018/7/11, , 25, 14
2018/7/12, , 21, 18
2018/7/13, , 28, 18
2018/7/14, , 24, 14
2018/7/15, , 24, 9
2018/7/16, , 28, 5
2018/7/17, , 47, 10
2018/7/18, , 44, 13
2018/7/19, , 37, 18
2018/7/20, , 30, 10
2018/7/21, , 24, 8
2018/7/22, , 17, 13
2018/7/23, , 17, 14
2018/7/24, , 24, 14
2018/7/25, , 24, 13
2018/7/26, , 22, 14
2018/7/27, , 32, 3
2018/7/28, , 23, 9
2018/7/29, , 29, 11
2018/7/30, , 28, 14
2018/7/31, , 29, 13
2018/8/1, , 30, 14
2018/8/2, , 50, 12
2018/8/3, , 21, 7
2018/8/4, , 16, 10
2018/8/5, , 14, 11
2018/8/6, , 12, 11
2018/8/7, , 14, 15
2018/8/8, , 27, 17
2018/8/9, , 34, 11
2018/8/10, , 46, 6
2018/8/11, , 18, 9
2018/8/12, , 11, 12
2018/8/13, , 11, 11
2018/8/14, , 18, 14
2018/8/15, , 18, 9
2018/8/16, , 16, 11
2018/8/17, , 22, 6
2018/8/18, , 16, 5
2018/8/19, , 11, 13
2018/8/20, , 19, 12
2018/8/21, , 17, 12
2018/8/22, , 19, 12
2018/8/23, , 21, 15
2018/8/24, , 26, 7
2018/8/25, , 16, 11
2018/8/26, , 12, 14
2018/8/27, , 15, 18
2018/8/28, , 16, 18
2018/8/29, , 24, 18
2018/8/30, , 19, 15
2018/8/31, , 17, 9
2018/9/1, , 14, 15
2018/9/2, , 16, 19
2018/9/3, , 17, 21
2018/9/4, , 22, 21
2018/9/5, , 21, 17
2018/9/6, , 24, 13
2018/9/7, , 25, 12
2018/9/8, , 37, 14
2018/9/9, , 20, 19
2018/9/10, , 23, 12
2018/9/11, , 22, 8
2018/9/12, , 16, 11
2018/9/13, , 14, 10
2018/9/14, , 14, 7
2018/9/15, , 11, 8
2018/9/16, , 9, 10
2018/9/17, , 11, 12
2018/9/18, , 16, 12
2018/9/19, , 20, 11
2018/9/20, , 19, 16
2018/9/21, , 26, 9
2018/9/22, , 19, 9
2018/9/23, , 11, 14
2018/9/24, , 11, 14
2018/9/25, , 32, 9
2018/9/26, , 14, 12
2018/9/27, , 11, 14
2018/9/28, , 9, 10
2018/9/29, , 13, 9
2018/9/30, , 11, 16
2018/4/1, , 36, 15
2018/4/2, , 44, 39
2018/4/3, , 84, 29
2018/4/4, , 61, 21
2018/4/5, , 22, 22
2018/4/6, , 27, 20
2018/4/7, , 41, 20
2018/4/8, , 56, 26
2018/4/9, , 59, 17
2018/4/10, , 36, 22
2018/4/11, , 46, 15
2018/4/12, , 47, 19
2018/4/13, , 52, 11
2018/4/14, , 44, 23
2018/4/15, , 63, 33
2018/4/16, , 66, 25
2018/4/17, , 57, 23
2018/4/18, , 41, 30
2018/4/19, , 44, 21
2018/4/20, , 50, 14
2018/4/21, , 39, 17
2018/4/22, , 32, 26
2018/4/23, , 44, 20
2018/4/24, , 28, 24
2018/4/25, , 22, 26
2018/4/26, , 30, 28
2018/4/27, , 33, 22
2018/4/28, , 26, 25
2018/4/29, , 24, 9
2018/4/30, , 24, 2
2018/5/1, , 16, 16
2018/5/2, , 25, 19
2018/5/3, , 30, 19
2018/5/4, , 19, 14
2018/5/5, , 22, 10
2018/5/6, , 22, 22
2018/5/7, , 40, 22
2018/5/8, , 48, 17
2018/5/9, , 47, 7
2018/5/10, , 29, 15
2018/5/11, , 40, 18
2018/5/12, , 36, 10
2018/5/13, , 32, 27
2018/5/14, , 49, 32
2018/5/15, , 77, 46
2018/5/16, , 100, 16
2018/5/17, , 64, 14
2018/5/18, , 52, 17
2018/5/19, , 33, 13
2018/5/20, , 27, 27
2018/5/21, , 46, 23
2018/5/22, , 61, 22
2018/5/23, , 65, 21
2018/5/24, , 60, 21
2018/5/25, , 51, 24
2018/5/26, , 36, 10
2018/5/27, , 26, 20
2018/5/28, , 33, 30
2018/5/29, , 41, 19
2018/5/30, , 36, 16
2018/5/31, , 29, 21
2018/6/1, , 31, 
2018/6/5, , 14, 15
2018/6/6, , 18, 15
2018/6/7, , 29, 19
2018/6/8, , 28, 13
2018/6/9, , 22, 19
2018/6/10, , 26, 23
2018/6/11, , 26, 14
2018/6/12, , 21, 17
2018/6/13, , 24, 23
2018/6/14, , 38, 15
2018/6/15, , 29, 14
2018/6/16, , 21, 15
2018/6/17, , 22, 13
2018/6/18, , 19, 10
2018/6/19, , 29, 14
2018/6/20, , 33, 16
2018/6/21, , 16, 6
2018/6/22, , 9, 8
2018/6/23, , 8, 10
2018/6/24, , 12, 14
2018/6/25, , 15, 17
2018/6/26, , 19, 13
2018/6/27, , 21, 13
2018/6/28, , 24, 7
2018/6/29, , 19, 6
2018/6/30, , 10, 6
2018/1/1, , 13, 13
2018/1/2, , 9, 19
2018/1/3, , 15, 6
2018/1/4, , 7, 21
2018/1/5, , 6, 13
2018/1/6, , 18, 12
2018/1/7, , 28, 23
2018/1/8, , 23, 23
2018/1/9, , 7, 21
2018/1/10, , 7, 8
2018/1/11, , 5, 16
2018/1/12, , 26, 19
2018/1/13, , 44, 23
2018/1/14, , 51, 20
2018/1/15, , 48, 23
2018/1/16, , 62, 15
2018/1/17, , 20, 12
2018/1/18, , 18, 21
2018/1/19, , 17, 20
2018/1/20, , 12, 35
2018/1/21, , 16, 30
2018/1/22, , 9, 25
2018/1/23, , 10, 15
2018/1/24, , 18, 9
2018/1/25, , 10, 18
2018/1/26, , 23, 10
2018/1/27, , 13, 17
2018/1/28, , 11, 13
2018/1/29, , 5, 24
2018/1/30, , 11, 24
2018/1/31, , 10, 20
2018/2/1, , 13, 26
2018/2/2, , 10, 6
2018/2/3, , 9, 15
2018/2/4, , 10, 28
2018/2/5, , 40, 31
2018/2/6, , 13, 19
2018/2/7, , 10, 25
2018/2/8, , 13, 22
2018/2/9, , 27, 29
2018/2/10, , 18, 15
2018/2/11, , 22, 16
2018/2/12, , 31, 12
2018/2/13, , 10, 22
2018/2/14, , 10, 36
2018/2/15, , 30, 30
2018/2/16, , 21, 16
2018/2/17, , 30, 28
2018/2/18, , 26, 15
2018/2/19, , 19, 40
2018/2/20, , 36, 46
2018/2/21, , 57, 46
2018/2/22, , 65, 29
2018/2/23, , 46, 24
2018/2/24, , 39, 19
2018/2/25, , 36, 23
2018/2/26, , 15, 18
2018/2/27, , 13, 20
2018/2/28, , 21, 28
2018/3/1, , 18, 28
2018/3/2, , 11, 32
2018/3/3, , 21, 32
2018/3/4, , 30, 34
2018/3/5, , 31, 17
2018/3/6, , 17, 17
2018/3/7, , 22, 17
2018/3/8, , 20, 27
2018/3/9, , 22, 28
2018/3/10, , 19, 21
2018/3/11, , 24, 23
2018/3/12, , 20, 21
2018/3/13, , 16, 22
2018/3/14, , 32, 30
2018/3/15, , 48, 26
2018/3/16, , 48, 24
2018/3/17, , 50, 17
2018/3/18, , 68, 24
2018/3/19, , 49, 24
2018/3/20, , 35, 29
2018/3/21, , 60, 31
2018/3/22, , 53, 34
2018/3/23, , 68, 14
2018/3/24, , 28, 11
2018/3/25, , 33, 17
2018/3/26, , 38, 32
2018/3/27, , 62, 34
2018/3/28, , 81, 23
2018/3/29, , 68, 11
2018/3/30, , 49, 23
2018/3/31, , 50, 10
2017/10/1, , 24, 17
2017/10/2, , 31, 16
2017/10/3, , 13, 11
2017/10/4, , 6, 18
2017/10/5, , 6, 15
2017/10/6, , 9, 15
2017/10/7, , 8, 7
2017/10/8, , 5, 12
2017/10/9, , 6, 11
2017/10/10, , 10, 17
2017/10/11, , 13, 17
2017/10/12, , 12, 12
2017/10/13, , 9, 10
2017/10/14, , 10, 9
2017/10/15, , 14, 14
2017/10/16, , 19, 16
2017/10/17, , 18, 15
2017/10/18, , 10, 26
2017/10/19, , 25, 18
2017/10/20, , 19, 11
2017/10/21, , 11, 8
2017/10/22, , 9, 14
2017/10/23, , 13, 22
2017/10/24, , 16, 15
2017/10/25, , 13, 13
2017/10/26, , 11, 17
2017/10/27, , 14, 12
2017/10/28, , 3, 8
2017/10/29, , 4, 12
2017/10/30, , 12, 24
2017/10/31, , 28, 15
2017/11/1, , 12, 15
2017/11/2, , 9, 20
2017/11/3, , 19, 10
2017/11/4, , 12, 12
2017/11/5, , 24, 17
2017/11/6, , 27, 19
2017/11/7, , 17, 22
2017/11/8, , 24, 15
2017/11/9, , 17, 18
2017/11/10, , 21, 16
2017/11/11, , 9, 11
2017/11/12, , 7, 23
2017/11/13, , 17, 23
2017/11/14, , 12, 16
2017/11/15, , 7, 20
2017/11/16, , 20, 15
2017/11/17, , 20, 11
2017/11/18, , 9, 13
2017/11/19, , 9, 16
2017/11/20, , 8, 18
2017/11/21, , 12, 
2017/11/23, , 27, 14
2017/11/24, , 19, 13
2017/11/25, , 13, 19
2017/11/26, , 9, 17
2017/11/27, , 13, 22
2017/11/28, , 15, 20
2017/11/29, , 18, 20
2017/11/30, , 22, 14
2017/12/1, , 7, 10
2017/12/2, , 7, 11
2017/12/3, , 6, 24
2017/12/4, , 18, 20
2017/12/5, , 8, 31
2017/12/6, , 9, 23
2017/12/7, , 9, 10
2017/12/8, , 12, 8
2017/12/9, , 7, 16
2017/12/10, , 6, 19
2017/12/11, , 13, 18
2017/12/12, , 9, 15
2017/12/13, , 7, 19
2017/12/14, , 21, 19
2017/12/15, , 7, 16
2017/12/16, , 7, 16
2017/12/17, , 17, 18
2017/12/18, , 12, 23
2017/12/19, , 11, 14
2017/12/20, , 9, 24
2017/12/21, , 9, 24
2017/12/22, , 8, 15
2017/12/23, , 5, 14
2017/12/24, , 6, 16
2017/12/25, , 7, 11
2017/12/26, , 5, 11
2017/12/27, , 7, 23
2017/12/28, , 20, 16
2017/12/29, , 19, 14
2017/12/30, , 14, 
2017/7/1, , 12, 10
2017/7/2, , 15, 10
2017/7/3, , 16, 13
2017/7/4, , 12, 14
2017/7/5, , 17, 12
2017/7/6, , 16, 15
2017/7/7, , 20, 10
2017/7/8, , 17, 10
2017/7/9, , 14, 13
2017/7/10, , 17, 14
2017/7/11, , 18, 14
2017/7/12, , 15, 10
2017/7/13, , 14, 15
2017/7/14, , 15, 9
2017/7/15, , 13, 7
2017/7/16, , 16, 6
2017/7/17, , 12, 7
2017/7/18, , 12, 15
2017/7/19, , 13, 18
2017/7/20, , 19, 12
2017/7/21, , 13, 9
2017/7/22, , 10, 5
2017/7/23, , 10, 7
2017/7/24, , 13, 10
2017/7/25, , 18, 11
2017/7/26, , 15, 10
2017/7/27, , 15, 17
2017/7/28, , 14, 9
2017/7/29, , 13, 10
2017/7/30, , 12, 12
2017/7/31, , 15, 14
2017/8/1, , 17, 17
2017/8/2, , 18, 14
2017/8/3, , 16, 12
2017/8/4, , 11, 7
2017/8/5, , 10, 7
2017/8/6, , 9, 13
2017/8/7, , 12, 17
2017/8/8, , 20, 16
2017/8/9, , 21, 15
2017/8/10, , 16, 16
2017/8/11, , 17, 15
2017/8/12, , 13, 8
2017/8/13, , 8, 16
2017/8/14, , 14, 18
2017/8/15, , 16, 19
2017/8/16, , 21, 20
2017/8/17, , 19, 20
2017/8/18, , 20, 9
2017/8/19, , 11, 9
2017/8/20, , 12, 16
2017/8/21, , 14, 12
2017/8/22, , 12, 12
2017/8/23, , 11, 18
2017/8/24, , 16, 16
2017/8/25, , 12, 12
2017/8/26, , 8, 10
2017/8/27, , 9, 23
2017/8/28, , 18, 13
2017/8/29, , 16, 15
2017/8/30, , 17, 17
2017/8/31, , 15, 14
2017/9/1, , 11, 14
2017/9/2, , 13, 4
2017/9/3, , 7, 2
2017/9/4, , 9, 3
2017/9/5, , 10, 
2017/9/10, , 13, 19
2017/9/11, , 21, 18
2017/9/12, , 17, 16
2017/9/13, , 15, 15
2017/9/14, , 8, 18
2017/9/15, , 14, 14
2017/9/16, , 12, 7
2017/9/17, , 12, 15
2017/9/18, , 16, 10
2017/9/19, , 10, 17
2017/9/20, , 15, 16
2017/9/21, , 14, 6
2017/9/22, , 15, 7
2017/9/23, , 23, 7
2017/9/24, , 24, 4
2017/9/25, , 22, 13
2017/9/26, , 24, 8
2017/9/27, , 21, 9
2017/9/28, , 22, 12
2017/9/29, , 21, 11
2017/9/30, , 21, 21
2017/6/22, , 23, 9
2017/6/23, , 14, 5
2017/6/24, , 10, 4
2017/6/25, , 10, 10
2017/6/26, , 12, 11
2017/6/27, , 12, 14
2017/6/28, , 21, 7
2017/6/29, , 17, 5
2017/6/30, , 16, 5
2024/7/3, , , 8
2023/10/10, , , 5
2023/4/4, , , 6
2022/8/16, , , 19
2022/5/22, , , 13
2021/7/12, , , 7
2021/1/24, , , 13
2021/1/31, , , 26
2020/6/21, , , 7
2019/12/31, , , 5
2019/11/21, , , 16
2019/11/23, , , 11
2018/12/31, , , 5
2018/6/3, , , 14
2018/6/4, , , 11
2017/12/31, , , 18
2017/11/22, , , 22
2017/9/9, , , 15
2017/6/21, , , 18
