date, pm25, pm10, no2
2023/11/6, , 27, 11
2023/11/7, , 15, 11
2023/11/8, , 13, 11
2023/11/9, , 14, 10
2023/11/10, , 11, 11
2023/11/11, , 18, 5
2023/11/12, , 13, 9
2023/11/13, , 23, 11
2023/11/14, , 16, 13
2023/11/15, , 11, 10
2023/11/16, , 11, 15
2023/11/17, , 23, 12
2023/11/18, , 13, 9
2023/11/19, , 11, 12
2023/11/20, , 6, 13
2023/11/21, , 6, 7
2023/11/22, , 2, 10
2023/11/23, , 6, 8
2023/11/24, , 13, 6
2023/11/25, , 4, 11
2023/11/26, , 5, 9
2023/11/27, , 5, 12
2023/11/28, , 4, 20
2023/11/29, , 8, 9
2023/11/30, , 6, 10
2023/12/1, , 11, 9
2023/12/2, , 4, 10
2023/12/3, , 4, 14
2023/12/4, , 5, 14
2023/12/5, , 5, 24
2023/12/6, , 7, 19
2023/12/7, , 11, 7
2023/12/8, , 8, 8
2023/12/9, , 9, 6
2023/12/10, , 9, 5
2023/12/11, , 7, 9
2023/12/12, , 6, 9
2023/12/13, , 6, 12
2023/12/14, , 7, 10
2023/12/15, , 6, 4
2023/12/16, , 5, 7
2023/12/17, , 7, 8
2023/12/18, , 5, 7
2023/12/19, , 13, 13
2023/12/20, , 8, 8
2023/12/21, , 4, 6
2023/12/22, , 5, 5
2023/12/23, , 4, 7
2023/12/24, , 3, 6
2023/12/25, , 7, 9
2023/12/26, , 4, 10
2023/12/27, , 5, 13
2023/12/28, , 8, 11
2023/12/29, , 7, 9
2023/12/30, , 6, 3
2023/12/31, , 4, 1
2023/7/1, , 12, 7
2023/7/2, , 10, 5
2023/7/3, , 8, 4
2023/7/4, , 14, 7
2023/7/5, , 16, 8
2023/7/6, , 13, 6
2023/7/7, , 14, 9
2023/7/8, , 13, 7
2023/7/9, , 11, 7
2023/7/10, , 17, 8
2023/7/11, , 21, 9
2023/7/12, , 24, 5
2023/7/13, , 11, 6
2023/7/14, , 10, 6
2023/7/15, , 11, 5
2023/7/16, , 12, 4
2023/7/17, , 11, 5
2023/7/18, , 10, 7
2023/7/19, , 12, 5
2023/7/20, , 11, 6
2023/7/21, , 11, 4
2023/7/22, , 8, 4
2023/7/23, , 8, 6
2023/7/24, , 14, 10
2023/7/25, , 14, 6
2023/7/26, , 10, 6
2023/7/27, , 12, 8
2023/7/28, , 11, 5
2023/7/29, , 9, 7
2023/7/30, , 13, 10
2023/7/31, , 12, 7
2023/8/1, , 13, 6
2023/8/2, , 8, 5
2023/8/3, , 12, 8
2023/8/4, , 11, 5
2023/8/5, , 10, 4
2023/8/6, , 12, 5
2023/8/7, , 16, 6
2023/8/8, , 5, 9
2023/8/9, , 18, 7
2023/8/10, , 11, 5
2023/8/11, , 14, 7
2023/8/12, , 14, 6
2023/8/13, , 11, 6
2023/8/14, , 17, 11
2023/8/15, , 25, 8
2023/8/16, , 13, 8
2023/8/17, , 15, 5
2023/8/18, , 13, 4
2023/8/19, , 10, 4
2023/8/20, , 9, 9
2023/8/21, , 11, 8
2023/8/22, , 16, 8
2023/8/23, , 15, 10
2023/8/24, , 16, 10
2023/8/25, , 16, 3
2023/8/26, , 10, 6
2023/8/27, , 9, 9
2023/8/28, , 13, 7
2023/8/29, , 14, 12
2023/8/30, , 14, 11
2023/8/31, , 14, 13
2023/9/1, , 12, 8
2023/9/2, , 7, 7
2023/9/3, , 7, 8
2023/9/4, , 12, 6
2023/9/5, , 14, 11
2023/9/6, , 16, 6
2023/9/7, , 14, 10
2023/9/8, , 21, 8
2023/9/9, , 15, 7
2023/9/10, , 19, 9
2023/9/11, , 22, 7
2023/9/12, , 20, 9
2023/9/13, , 12, 13
2023/9/14, , 15, 9
2023/9/15, , 15, 5
2023/9/16, , 12, 6
2023/9/17, , 9, 6
2023/9/18, , 13, 7
2023/9/19, , 15, 6
2023/9/20, , 8, 9
2023/9/21, , 19, 11
2023/9/22, , 25, 5
2023/9/23, , 8, 5
2023/9/24, , 7, 5
2023/9/25, , 12, 10
2023/9/26, , 17, 9
2023/9/27, , 21, 11
2023/9/28, , 27, 7
2023/9/29, , 18, 5
2023/9/30, , 9, 7
2023/4/5, , 9, 8
2023/4/6, , 22, 9
2023/4/7, , 17, 7
2023/4/8, , 25, 13
2023/4/9, , 47, 9
2023/4/10, , 44, 7
2023/4/11, , 34, 8
2023/4/12, , 37, 4
2023/4/13, , 20, 4
2023/4/14, , 18, 3
2023/4/15, , 23, 6
2023/4/16, , 32, 13
2023/4/17, , 57, 8
2023/4/18, , 42, 8
2023/4/19, , 50, 23
2023/4/20, , 100, 19
2023/4/21, , 84, 9
2023/4/22, , 37, 9
2023/4/23, , 33, 7
2023/4/24, , 11, 13
2023/4/25, , 29, 10
2023/4/26, , 38, 11
2023/4/27, , 33, 11
2023/4/28, , 36, 9
2023/4/29, , 27, 5
2023/4/30, , 15, 7
2023/5/1, , 16, 10
2023/5/2, , 25, 12
2023/5/3, , 47, 13
2023/5/4, , 38, 13
2023/5/5, , 43, 9
2023/5/6, , 25, 9
2023/5/7, , 29, 8
2023/5/8, , 45, 8
2023/5/9, , 53, 11
2023/5/10, , 78, 12
2023/5/11, , 59, 10
2023/5/12, , 44, 9
2023/5/13, , 37, 8
2023/5/14, , 33, 11
2023/5/15, , 53, 13
2023/5/16, , 29, 10
2023/5/17, , 10, 8
2023/5/18, , 16, 8
2023/5/19, , 26, 8
2023/5/20, , 18, 9
2023/5/21, , 25, 11
2023/5/22, , 42, 12
2023/5/23, , 39, 11
2023/5/24, , 45, 9
2023/5/25, , 34, 8
2023/5/26, , 31, 6
2023/5/27, , 23, 6
2023/5/28, , 21, 8
2023/5/29, , 36, 10
2023/5/30, , 33, 10
2023/5/31, , 36, 8
2023/6/1, , 31, 8
2023/6/2, , 24, 7
2023/6/3, , 20, 6
2023/6/4, , 13, 8
2023/6/5, , 22, 5
2023/6/6, , 23, 8
2023/6/7, , 28, 7
2023/6/8, , 27, 5
2023/6/9, , 23, 8
2023/6/10, , 23, 8
2023/6/11, , 23, 9
2023/6/12, , 28, 9
2023/6/13, , 27, 12
2023/6/14, , 43, 13
2023/6/15, , 38, 12
2023/6/16, , 35, 9
2023/6/17, , 29, 7
2023/6/18, , 22, 7
2023/6/19, , 22, 13
2023/6/20, , 30, 9
2023/6/21, , 28, 7
2023/6/22, , 28, 4
2023/6/23, , 14, 6
2023/6/24, , 13, 6
2023/6/25, , 20, 8
2023/6/26, , 26, 5
2023/6/27, , 23, 13
2023/6/28, , 32, 9
2023/6/29, , 25, 8
2023/6/30, , 21, 4
2023/1/2, , 11, 9
2023/1/3, , 6, 6
2023/1/4, , 3, 7
2023/1/5, , 7, 7
2023/1/6, , 7, 7
2023/1/7, , 21, 7
2023/1/8, , 10, 9
2023/1/9, , 9, 7
2023/1/10, , 6, 4
2023/1/11, , 7, 6
2023/1/12, , 7, 8
2023/1/13, , 9, 7
2023/1/14, , 5, 4
2023/1/15, , 8, 7
2023/1/16, , 12, 7
2023/1/17, , 11, 10
2023/1/18, , 19, 14
2023/1/19, , 12, 18
2023/1/20, , 16, 11
2023/1/21, , 6, 8
2023/1/22, , 6, 8
2023/1/23, , 8, 8
2023/1/24, , 5, 5
2023/1/25, , 3, 12
2023/1/26, , 20, 16
2023/1/27, , 17, 8
2023/1/28, , 5, 5
2023/1/29, , 3, 6
2023/1/30, , 27, 12
2023/1/31, , 39, 21
2023/2/1, , 18, 16
2023/2/2, , 24, 13
2023/2/3, , 17, 11
2023/2/4, , 19, 8
2023/2/5, , 23, 18
2023/2/6, , 12, 8
2023/2/7, , 9, 7
2023/2/8, , 10, 5
2023/2/9, , 28, 7
2023/2/10, , 40, 11
2023/2/11, , 10, 8
2023/2/12, , 6, 13
2023/2/13, , 28, 16
2023/2/14, , 37, 8
2023/2/15, , 18, 8
2023/2/16, , 16, 9
2023/2/17, , 22, 4
2023/2/18, , 11, 7
2023/2/19, , 39, 10
